,the scores,sucess rate,one digit scores,two digits scores,three digits scores,four and more digits scores,Moving average,y=100,y=1000,%1_digit,%2_digits,%3_digits,%>=4_digits
307,2,0.204134367,100,0,0,0,0.93,100,1000,100%,0%,0%,0%
308,0,0.203608247,100,0,0,0,0.95,100,1000,100%,0%,0%,0%
309,3,0.209183673,100,0,0,0,0.94,100,1000,100%,0%,0%,0%
310,3,0.214646465,100,0,0,0,0.96,100,1000,100%,0%,0%,0%
311,1,0.216080402,100,0,0,0,0.96,100,1000,100%,0%,0%,0%
312,0,0.215538847,100,0,0,0,0.99,100,1000,100%,0%,0%,0%
313,0,0.215,100,0,0,0,0.99,100,1000,100%,0%,0%,0%
314,1,0.21641791,100,0,0,0,0.99,100,1000,100%,0%,0%,0%
315,3,0.221674877,100,0,0,0,0.99,100,1000,100%,0%,0%,0%
316,1,0.223039216,100,0,0,0,1,100,1000,100%,0%,0%,0%
317,0,0.222493888,100,0,0,0,1,100,1000,100%,0%,0%,0%
318,0,0.22195122,100,0,0,0,1,100,1000,100%,0%,0%,0%
319,0,0.221411192,100,0,0,0,1.03,100,1000,100%,0%,0%,0%
320,0,0.220873786,100,0,0,0,1.06,100,1000,100%,0%,0%,0%
321,0,0.220338983,100,0,0,0,1.07,100,1000,100%,0%,0%,0%
322,1,0.221686747,100,0,0,0,1.07,100,1000,100%,0%,0%,0%
323,0,0.221153846,100,0,0,0,1.07,100,1000,100%,0%,0%,0%
324,1,0.222488038,100,0,0,0,1.08,100,1000,100%,0%,0%,0%
325,0,0.221957041,100,0,0,0,1.12,100,1000,100%,0%,0%,0%
326,0,0.221428571,100,0,0,0,1.12,100,1000,100%,0%,0%,0%
327,1,0.222748815,100,0,0,0,1.11,100,1000,100%,0%,0%,0%
328,0,0.222222222,100,0,0,0,1.1,100,1000,100%,0%,0%,0%
329,0,0.221698113,100,0,0,0,1.12,100,1000,100%,0%,0%,0%
330,0,0.221176471,100,0,0,0,1.13,100,1000,100%,0%,0%,0%
331,0,0.220657277,100,0,0,0,1.12,100,1000,100%,0%,0%,0%
332,0,0.220140515,100,0,0,0,1.13,100,1000,100%,0%,0%,0%
333,1,0.221445221,100,0,0,0,1.13,100,1000,100%,0%,0%,0%
334,0,0.220930233,100,0,0,0,1.19,100,1000,100%,0%,0%,0%
335,1,0.222222222,100,0,0,0,1.2,100,1000,100%,0%,0%,0%
336,0,0.221709007,100,0,0,0,1.19,100,1000,100%,0%,0%,0%
337,0,0.221198157,100,0,0,0,1.24,100,1000,100%,0%,0%,0%
338,1,0.222477064,100,0,0,0,1.22,100,1000,100%,0%,0%,0%
339,2,0.225512528,100,0,0,0,1.26,100,1000,100%,0%,0%,0%
340,1,0.22675737,100,0,0,0,1.26,100,1000,100%,0%,0%,0%
341,1,0.227990971,100,0,0,0,1.32,100,1000,100%,0%,0%,0%
342,3,0.232662192,100,0,0,0,1.35,100,1000,100%,0%,0%,0%
343,0,0.232142857,100,0,0,0,1.38,100,1000,100%,0%,0%,0%
344,4,0.238410596,100,0,0,0,1.34,100,1000,100%,0%,0%,0%
345,4,0.244541485,100,0,0,0,1.33,100,1000,100%,0%,0%,0%
346,3,0.248917749,100,0,0,0,1.38,100,1000,100%,0%,0%,0%
347,0,0.24838013,100,0,0,0,1.36,100,1000,100%,0%,0%,0%
348,2,0.251072961,100,0,0,0,1.44,100,1000,100%,0%,0%,0%
349,4,0.256900212,100,0,0,0,1.43,100,1000,100%,0%,0%,0%
350,1,0.257928118,100,0,0,0,1.59,100,1000,100%,0%,0%,0%
351,0,0.257383966,100,0,0,0,1.55,100,1000,100%,0%,0%,0%
352,4,0.263048017,100,0,0,0,1.55,100,1000,100%,0%,0%,0%
353,5,0.270103093,100,0,0,0,1.52,100,1000,100%,0%,0%,0%
354,0,0.269547325,100,0,0,0,1.52,100,1000,100%,0%,0%,0%
